"Feature","Data_Type","Category","Sub_Category","TCGA-23-2077","TCGA-24-1423","TCGA-24-1474","TCGA-24-1550","TCGA-25-1314","TCGA-25-2396","TCGA-29-1695","TCGA-29-1696","TCGA-29-1699","TCGA-29-1784","TCGA-59-2352","TCGA-59-2363","TCGA-61-1907","TCGA-61-2111","TCGA-13-1511","TCGA-20-1687","TCGA-23-1029","TCGA-23-1111","TCGA-23-1122","TCGA-23-1123","TCGA-23-2081","TCGA-24-1416","TCGA-24-1424","TCGA-24-1552","TCGA-24-1603","TCGA-25-1323","TCGA-25-2400","TCGA-29-1701","TCGA-30-1891","TCGA-61-1725","TCGA-61-1740","TCGA-61-2008","TCGA-61-2092","TCGA-10-0928","TCGA-24-1430","TCGA-29-1697","TCGA-61-1741","TCGA-61-2009","TCGA-61-2012","TCGA-61-2102","TCGA-61-2104","TCGA-61-2109","TCGA-09-1670","TCGA-09-1673","TCGA-13-0897","TCGA-13-0913","TCGA-20-1683","TCGA-20-1685","TCGA-24-1846","TCGA-24-1850","TCGA-24-2024","TCGA-24-2290","TCGA-25-2404","TCGA-29-1688","TCGA-29-1781","TCGA-57-1993","TCGA-61-1733","TCGA-61-1736","TCGA-61-2016","TCGA-09-0364","TCGA-13-0890","TCGA-13-0899","TCGA-13-0920","TCGA-13-1403","TCGA-13-1489","TCGA-24-1469","TCGA-24-1551","TCGA-24-1844","TCGA-25-1315","TCGA-25-1319","TCGA-25-2391","TCGA-25-2393","TCGA-29-1693","TCGA-29-1761","TCGA-29-1763","TCGA-29-1778","TCGA-29-2427","TCGA-61-1914","TCGA-09-2044","TCGA-13-1481","TCGA-13-2060","TCGA-20-1682","TCGA-23-1027","TCGA-24-1413","TCGA-24-1564","TCGA-24-1842","TCGA-24-1847","TCGA-24-2035","TCGA-25-1316","TCGA-25-2392","TCGA-25-2397","TCGA-61-1728","TCGA-04-1348","TCGA-09-1674","TCGA-13-1405","TCGA-23-1114","TCGA-23-2084","TCGA-24-1419","TCGA-24-1428","TCGA-24-1562","TCGA-24-1616","TCGA-24-2267","TCGA-24-2288","TCGA-24-2298","TCGA-29-1702","TCGA-29-1703","TCGA-29-1785","TCGA-30-1855","TCGA-31-1953","TCGA-57-1994","TCGA-59-2355","TCGA-61-1900","TCGA-61-1910","TCGA-61-1919","TCGA-61-2088","TCGA-61-2110","TCGA-04-1362","TCGA-13-0800","TCGA-13-0916","TCGA-13-1498","TCGA-13-1506","TCGA-13-1512","TCGA-20-1684","TCGA-24-1418","TCGA-24-1436","TCGA-24-1467","TCGA-24-2261","TCGA-24-2262","TCGA-25-1329","TCGA-29-1691","TCGA-29-1762","TCGA-59-2350","TCGA-59-2351","TCGA-61-1998","TCGA-61-2000","TCGA-61-2094","TCGA-61-2113","TCGA-04-1357","TCGA-13-1505","TCGA-13-1507","TCGA-24-1103","TCGA-24-1417","TCGA-24-2254","TCGA-24-2281","TCGA-25-1312","TCGA-29-1705","TCGA-29-1770","TCGA-30-1862","TCGA-61-1995","TCGA-09-0369","TCGA-09-2051","TCGA-13-0893","TCGA-13-1497","TCGA-23-1809","TCGA-24-1427","TCGA-24-1843","TCGA-24-2019","TCGA-24-2033","TCGA-24-2271","TCGA-25-1313","TCGA-25-2399","TCGA-29-1694","TCGA-29-1710","TCGA-29-1711","TCGA-29-1776","TCGA-29-1783","TCGA-30-1718","TCGA-59-2348","TCGA-61-1738"
"mutSig1","num","Doberstein","Mutation Signatures",0,0.053713,0,NA,NA,0.26105,0.19919,0.099007,0,0,0.075889,0,0.06767,0.14389,NA,0,0.19598,0,0,0.32208,0.045366,NA,0.067648,0.25823,0.14874,NA,0.12808,0.087065,0,0.1269,0,0,0,0,NA,0.25971,0.050858,0,0.07348,0,0,0.079913,0.44253,0.13297,0.03573,NA,0.034414,0,0.043215,0.10609,0.0082551,0.042917,0,0.012118,0.085677,0.22408,0.20338,0,0,NA,0.081322,NA,0.12083,0,0.03415,0.074338,0,0.14237,0.14176,0.096645,0.012453,0.015024,0,0.11683,0.11092,0.17228,0.03979,0.050446,0.074047,0,0,0.034105,0,0.20024,0.24484,0.14469,0,0.11451,NA,0,NA,0.038162,0.31014,0.032972,0.000191,0,NA,0,NA,0,0.26955,0,0,0,0.19716,0.21994,0.20727,0,0.02912,NA,NA,0.10695,0.094001,0.21819,NA,0.088576,0,0.16088,NA,0.10006,0,0.038024,0.0072222,0.1929,0.15667,NA,0,0.05128,0,0.12726,0.000226,0,0,0,0.23603,0.12599,0.095243,0.093711,NA,0.066379,0,0,0,0.013255,NA,0.11234,0.045459,0,0,0.16975,0,0,0,0.09899,0.18683,0.18599,0.16829,NA,0,0,0,0.079226,0.11825,0,0.37912,0.058369,0.15552,0,0.13958
"mutSig2","num","Doberstein","Mutation Signatures",0.091281,0.012001,0.096734,NA,NA,0,0,0.13091,0,0.10341,0.084733,0.067244,0.068042,0,NA,0.11845,0.14404,0,0,0.024946,0,NA,0,0,0,NA,0,0,0.060018,0.12067,0.025049,0.16244,0,0.046487,NA,0,0.090612,0.050191,0,0.062927,0.099431,0,0,0,0.051254,NA,0.035697,0.23667,0.098841,0,0.14385,0,0,0,0.067385,0,0,0.055728,0,NA,0.078382,NA,0.0011235,0,0.18895,0,0.034359,0.095783,0.05055,0.073399,0.12139,0,0.083099,0.045383,0,0,0,0.094551,0.22107,0.25673,0,0.074425,0,0,0,0,0.064318,0,NA,0,NA,0,0,0,0.032095,0.052159,NA,0.2212,NA,0,0.032451,0.12036,0.044018,0.20434,0.01951,0,0.014077,0.034288,0,NA,NA,0.17408,0.11875,0,NA,0,0.025683,0,NA,0.09935,0,0,0.12268,0,0,NA,0,0,0,0,0.12226,0.021388,0.1239,0.037524,0,0.11395,0.014782,0.065686,NA,0,0.13364,0,0.004769,0.13266,NA,0.012956,0,0,0,0,0.10018,0.14829,0.11489,0,0.070748,0.082396,0,NA,0,0,0,0.1913,0,0.031462,0.017083,0,0,0.026578,0
"mutSig3","num","Doberstein","Mutation Signatures",0.037073,0.080438,0.050681,NA,NA,0,0,0.040986,0,0.1249,0.023672,0,0.12158,0.031499,NA,0.016271,0,0.019542,0.1972,0,0,NA,0.082495,0,0.06241,NA,0.0024686,0.0923,0.0037266,0.096528,0,0,0,0.15764,NA,0.0086925,0,0.14328,0,0,0.028219,0.10558,0,0.091529,0.010983,NA,0.0765,0.062418,0.027478,0,0,0.011847,0.079347,0.036873,0.12848,0,0,0,0.12068,NA,0,NA,0.048099,0.18271,0.039456,0.01275,0.01258,0,0.081245,0.15059,0.11735,0.050841,0,0,0.0056563,0,0.069841,0.033381,0.070496,0.096277,0.010404,0.1127,0.048881,0.17377,0,0.023876,0.16226,0.1311,NA,0.036129,NA,0.077604,0,0.019873,0,0,NA,0,NA,0,0,0.12553,0.062846,0.016328,0.033465,0.037071,0.0079659,0.046815,0.19518,NA,NA,0.055716,0,0.013677,NA,0,0.090013,0,NA,0.12625,0.15351,0.10351,0.10381,0.024722,0,NA,0.041187,0.050179,0,0,0.018226,0.055322,0.097927,0.069769,0.074133,0,0.094559,0.09765,NA,0.031058,0,0.10654,0.01944,0.07531,NA,0.023786,0,0,0.24905,0.027316,0.22966,0.014971,0.10876,0,0,0,0.10779,NA,0.0066301,0.064916,0,0.006123,0,0.055003,0,0.086901,0.092032,0.062416,0
"mutSig4","num","Doberstein","Mutation Signatures",0.1563,0.092595,0.020494,NA,NA,0.001847,0.0086475,0.080391,0.014321,0.10863,0.051288,0.036373,0.064807,0.15035,NA,0.019115,0.012016,0,0.0038893,0.018162,0.038444,NA,0.018378,0.066573,0,NA,0.085426,0,0.044477,0.055933,0.11955,0.068218,0.051377,0.16408,NA,0.04687,0,0.052699,0.034888,0.059079,0.057862,0.042274,0.0058954,0.030153,0.13963,NA,0.0052761,0.050997,0.053088,0.031741,0.12133,0.059944,0.10771,0.048528,0.0035341,0.062445,0.076979,0.0217,0.0065285,NA,0.018781,NA,0.034465,0.077886,0.072605,0.12477,0.098172,0.029535,0.010545,0.015575,0.084907,0.024861,0.10109,0.049513,0.063569,0.0073994,0.093167,0.058466,0,0.018279,0,0.09564,0.12907,0.041356,0,0,0.069815,0.012727,NA,0.025589,NA,0.026559,0.049163,0.14233,0.10869,0.12317,NA,0.10039,NA,0.10075,0.020978,0.045656,0.089115,0.067729,0.055676,0.071487,0.095162,0.09161,0.067752,NA,NA,0.044336,0.0097367,0.031208,NA,0.012225,0.098634,0.057838,NA,0.064395,0,0,0.10875,0.040246,0,NA,0.027335,0.021188,0.05408,0.042885,0,0.038639,0.063098,0.066034,0.017133,0.092896,0.023153,0.14698,NA,0.1006,0.026693,0.077791,0.062137,0.014505,NA,0.040308,0.10595,0.031023,0.049707,0,0,0.069608,0.033075,0.090522,0,0.039375,0.055174,NA,0.04686,0.11563,0.050476,0,0.035232,0.051693,0.053458,0.060635,0.038678,0.035494,0.028161
"mutSig5","num","Doberstein","Mutation Signatures",0.065116,0.19684,0.11142,NA,NA,0,0.11215,0.021934,0.068977,0.081773,0.025144,0.077957,0.085376,0.07156,NA,0.16854,0.056493,0.024848,0.085081,0.1161,0.10928,NA,0.12948,0,0.10906,NA,0.18123,0.056041,0.1817,0.022111,0.10023,0.036898,0.074504,0.042917,NA,0.15809,0,0.079965,0.16404,0.11664,0.084413,0.089685,0.02423,0.14995,0.05195,NA,0.0094661,0,0,0.089902,0.074726,0.060931,0.29789,0.10143,0.17981,0.034033,0.065235,0.08362,0.10083,NA,0,NA,0.15679,0.12375,0.0053067,0.093667,0.16789,0.091565,0.10831,0.020643,0.0070228,0.1043,0.079663,0.024089,0.15812,0.0080545,0.2552,0.05773,0.040214,0.0050678,0.081998,0.07226,0.16267,0.060603,0.10468,0.083372,0.11813,0.11228,NA,0.1251,NA,0.053239,0,0.13919,0.18229,0.053165,NA,0.10475,NA,0,0.010225,0.096733,0.086633,0.055352,0.046272,0.0205,0.01324,0.096345,0,NA,NA,0.13225,0.12613,0,NA,0.04012,0.021074,0.21735,NA,0.091579,0.02102,0.05591,0.074344,0.11112,0,NA,0.073538,0.10625,0.1056,0.1044,0.15873,0.099695,0.081351,0.096248,0,0.13194,0.12176,0,NA,0.045149,0.07275,0.062764,0,0.12126,NA,0.038008,0.030928,0.14281,0.11967,0.02937,0.036865,0.023849,0.10454,0.0084075,0.083135,0.027359,0.003694,NA,0.17248,0.13824,0.071858,0.24662,0.14931,0.16908,0.05207,0,0.046861,0.18009,0.044355
"mutSig6","num","Doberstein","Mutation Signatures",0.092163,0.074354,0.25929,NA,NA,0.18845,0.25615,0.088679,0.15742,0.032071,0.095608,0.09457,0.040663,0.134,NA,0.14357,0.063433,0.29381,0.062101,0.17539,0.051476,NA,0.1168,0.21938,0.35719,NA,0.14642,0.17798,0.076522,0.052357,0.051094,0.058688,0.32029,0.076737,NA,0.21529,0.21705,0.13323,0.15169,0.094345,0.12872,0.042922,0.14798,0.25471,0.035863,NA,0.10894,0.060751,0.029686,0.26327,0.077416,0.054498,0.13071,0.1222,0.015562,0.17649,0.16499,0.077251,0.10638,NA,0.037248,NA,0.060821,0.2294,0.099051,0.044867,0.11803,0.099734,0.10124,0.34135,0.11314,0.16729,0.10724,0.13055,0.074607,0.29884,0.061351,0.11956,0.0070174,0.10588,0.2461,0.14544,0.090926,0.03997,0.12621,0.24063,0.040471,0.074398,NA,0.070913,NA,0.10782,0.1736,0.19297,0.13256,0.075828,NA,0.1628,NA,0.21629,0.10249,0.074388,0.050352,0.094675,0.25949,0.16835,0.12015,0.087022,0.11424,NA,NA,0.035798,0.034054,0.18732,NA,0.19882,0.030879,0.17741,NA,0.078259,0.3082,0.1255,0.20284,0.046701,0.15805,NA,0.30038,0.13929,0.4305,0.070884,0.046736,0.13847,0.042533,0.05599,0.076177,0.066164,0.052014,0.089453,NA,0.13607,0.046859,0.040489,0.18969,0.18214,NA,0.063284,0.13831,0.13713,0.3008,0.24991,0.026872,0.064084,0.10292,0.18019,0.073769,0.12946,0.088514,NA,0.2874,0.10441,0.17965,0.062425,0.24865,0.021902,0.12956,0.20706,0.12827,0.11896,0.27991
"mutSig7","num","Doberstein","Mutation Signatures",0,0.056909,0.012033,NA,NA,0.031206,0.034423,0,0.0034188,0.044675,0.026625,0.043347,0.057667,0,NA,0.055127,0.0017697,0.058599,0.014742,0,0.023486,NA,0.0064403,0,0,NA,0,0.022105,0.074041,0.10395,0.061008,0.038077,0.019571,0.2175,NA,0.007774,0,0.039389,0.0088851,0.065775,0.016211,0.0027405,0,0.029209,0.076199,NA,0.03016,0.0040408,0.085771,0,0.021104,0,0.005255,0.066331,0,0,0,0,0,NA,0.1713,NA,0.074417,0.014325,0.003885,0.059265,0,0.017716,0.064922,0,0,0.032301,0.0071946,0.029232,0.051679,0,0.023497,0.028371,0.029196,0,0.07839,0.01519,0,0.057256,0,0.034681,0,0,NA,0.031642,NA,0.1194,0,0.0075994,0.093637,0.0014672,NA,0.012508,NA,0,0,0.086558,0.035603,0.021085,0,0,0,0.099079,0,NA,NA,0.0097694,0.036285,0,NA,0.034206,0.0085354,0.041586,NA,0.056276,0,0.044101,0,0.053678,0,NA,0.027908,0.033819,0.1155,0.016336,0.04695,0.023371,0.030268,0.045214,0.025571,0,0.039859,0.062497,NA,0.049245,0.078071,0.026331,0.090683,0,NA,0,0.000848,0.022065,0.029631,0.025759,0.018712,0,0.044975,0,0,0,0,NA,0,0.021655,0.058528,0.026188,0,0.079404,0,0,0.015153,0,0
"mutSig8","num","Doberstein","Mutation Signatures",0.14755,0.19531,0.073635,NA,NA,0.15539,0.10718,0.15102,0.16569,0.084411,0.24063,0.1055,0.17267,0.048169,NA,0.074962,0.093976,0.15215,0.10447,0.13469,0.19181,NA,0.040004,0.096134,0.084346,NA,0.088923,0.092836,0.067508,0.16774,0.1995,0.13264,0.1214,0.089604,NA,0.065616,0.13149,0.17221,0.071157,0.20311,0.12536,0.27257,0.047465,0.044859,0.13418,NA,0.24557,0.089999,0.12753,0.16693,0.17423,0.037345,0.046268,0.13707,0.12036,0.042225,0.060343,0.11615,0.17016,NA,0.27423,NA,0.15065,0.10138,0.10245,0.084081,0.092135,0.11135,0.087296,0.020118,0.16535,0.13794,0.12085,0.14798,0.083474,0.072028,0.097893,0.094879,0.085734,0.11545,0.075227,0.1426,0.15033,0.042309,0.16189,0.05037,0.067325,0.11717,NA,0.18641,NA,0.095454,0.049963,0.037073,0.083999,0.11328,NA,0.060207,NA,0.052442,0.070348,0.069262,0.22236,0.06465,0,0.11361,0.10935,0.16227,0.11873,NA,NA,0.084028,0.093733,0.11007,NA,0.038986,0.16924,0.12443,NA,0.042596,0.18831,0.095376,0.10975,0.073662,0.17328,NA,0.084947,0.07615,0.015961,0.13538,0.23067,0.063833,0.12502,0.12357,0.18875,0.14136,0.21089,0.11137,NA,0.13656,0.16661,0.093627,0.15909,0.16254,NA,0.2222,0.032873,0.056453,0.012074,0.092971,0.22242,0.084539,0.16877,0.10306,0.045644,0.14012,0.072897,NA,0.024384,0.10651,0.085962,0.045941,0,0.14456,0.14562,0.17548,0.2227,0.096694,0.033944
"mutSig9","num","Doberstein","Mutation Signatures",0,0,0.096842,NA,NA,0.029819,0.014221,0.0099183,0.048314,0,0,0.0044306,0.025976,0.010982,NA,0.024462,0.0096088,0.022658,0.0083077,0.0081798,0.0093806,NA,0.0079958,0,0.024073,NA,0,0.040324,0.060004,0.065503,0.010809,0.015863,0.019412,0,NA,0.013777,0.027886,0,0.074018,0.017978,0,0.015981,0,0,0,NA,0.0014785,0,0,0.035197,0.0019041,0.025262,0,0,0,0.14108,0.036004,0,0.005704,NA,0.012895,NA,0,0.0031114,0,0.098111,0,0.041219,0.0015579,0,0,0.0049289,0,0.042818,0.011206,0.018999,0.044954,0.0019444,0.041346,0,0,0.013024,0,0.030215,0.0055854,0.0021109,0,0.036113,NA,0,NA,0.048278,0.01154,0,0.080658,0.026195,NA,0.014398,NA,0.000255,0.0076734,0.0086971,0,0.039247,0.059306,0,0.025391,0.024813,0.039004,NA,NA,0.024035,0.02096,0,NA,0.004314,0.072775,0.0036188,NA,0.048598,0.087484,0,0,0.03441,0,NA,0,0.027642,0.057068,0.025597,0,0.04085,0,0.0087556,0,0,0.058189,0,NA,0.0028988,0,0,0.059344,0,NA,0.02506,0.032236,0,0,0,0.0055209,0,0.0075799,0.06641,0,0.037395,0,NA,0,0.010902,0,0,0.031899,0.001379,0,0,0.0028031,0,0.0459
"mutSig10","num","Doberstein","Mutation Signatures",0.076431,0.036827,0.094637,NA,NA,0.021206,0.019078,0.049593,0.063227,0.062377,0.074259,0.098573,0.069301,0.085931,NA,0,0.028906,0.053805,0.058982,0.0099512,0.069008,NA,0.11749,0.0079451,0.023485,NA,0.012491,0.034145,0.014258,0,0.041374,0,0.037844,0,NA,0.03763,0.12535,0.056902,0.065418,0,0.040189,0.074163,0,0.058147,0.052492,NA,0.024473,0.1052,0.015162,0.0080486,0.021623,0.054178,0.043395,0,0.038961,0,0.034647,0.1685,0,NA,0.085536,NA,0.0081275,0.051992,0.07056,0.044748,0.12276,0.02362,0.039838,0.011426,0.0031172,0.092223,0.067676,0.026988,0.010791,0.077178,0.044278,0.08021,0.077662,0.054982,0.081395,0.05054,0.048037,0.070962,0.053023,0,0.0389,0.067364,NA,0.079987,NA,0,0.10106,0.077598,0.010143,0.09427,NA,0,NA,0,0.030567,0.039623,0.074466,0.049695,0.0017165,0.0056544,0,0.093523,0.0062921,NA,NA,0.035785,0.039268,0.048656,NA,0,0.050426,0.044771,NA,0,0.068382,0.10873,0.000105,0.017719,0.047011,NA,0.015595,0.049796,0.0090234,0.11692,0.022424,0.13399,0.10478,0.021673,0.008348,0,0.053479,0.013702,NA,0.0028245,0.026308,0.067052,0.076306,0.072629,NA,0.18031,0.047507,0.15807,0.03334,0,0.026561,0.051594,0.057513,0.08322,0.019448,0.029833,0.049297,NA,0.049934,0.053786,0.024762,0.078684,0.050705,0.070443,0.027324,0,0.043355,0.0953,0
