Feature,Data_Type,Category,Sub_Category,TCGA-23-1021,TCGA-23-1022,TCGA-23-1023,TCGA-23-1024,TCGA-23-1026,TCGA-23-1027,TCGA-23-1028,TCGA-23-1029,TCGA-23-1030,TCGA-23-1031,TCGA-23-1032,TCGA-23-1107,TCGA-23-1109,TCGA-23-1110,TCGA-23-1111,TCGA-23-1113,TCGA-23-1114,TCGA-23-1116,TCGA-23-1117,TCGA-23-1118,TCGA-23-1119,TCGA-23-1120,TCGA-23-1121,TCGA-23-1122,TCGA-23-1123,TCGA-23-1809,TCGA-23-2072,TCGA-23-2077,TCGA-23-2078,TCGA-23-2079,TCGA-23-2081,TCGA-23-2084,TCGA-23-2641,TCGA-23-2643,TCGA-23-2645,TCGA-23-2647,TCGA-23-2649,TCGA-25-1312,TCGA-25-1313,TCGA-25-1314,TCGA-25-1315,TCGA-25-1316,TCGA-25-1317,TCGA-25-1318,TCGA-25-1319,TCGA-25-1320,TCGA-25-1321,TCGA-25-1322,TCGA-25-1323,TCGA-25-1324,TCGA-25-1325,TCGA-25-1326,TCGA-25-1328,TCGA-25-1329,TCGA-25-1623,TCGA-25-1625,TCGA-25-1626,TCGA-25-1627,TCGA-25-1630,TCGA-25-1631,TCGA-25-1632,TCGA-25-1634,TCGA-25-1635,TCGA-25-1870,TCGA-25-1871,TCGA-25-1877,TCGA-25-1878,TCGA-25-2042,TCGA-25-2390,TCGA-25-2391,TCGA-25-2392,TCGA-25-2393,TCGA-25-2396,TCGA-25-2397,TCGA-25-2399,TCGA-25-2400,TCGA-25-2401,TCGA-25-2404,TCGA-25-2408,TCGA-25-2409,TCGA-3P-A9WA,TCGA-42-2582,TCGA-42-2587,TCGA-42-2588,TCGA-42-2589,TCGA-42-2590,TCGA-42-2591,TCGA-42-2593,TCGA-57-1582,TCGA-57-1583,TCGA-57-1585,TCGA-57-1586,TCGA-57-1992,TCGA-57-1993,TCGA-57-1994,TCGA-59-A5PD,TCGA-5X-AA5U,TCGA-OY-A56P,TCGA-OY-A56Q,TCGA-WR-A838
CAtoTI,num,FracLac,FracLac,0.592737928,0.233396975,0.322675655,0.304806154,0.161718414,0.224573907,0.10736775,0.352973944,0.341289213,0.30926684,0.36756995,0.237413948,0.420856984,0.562789735,0.325917345,0.263413064,0.215628059,0.353745264,0.629304223,0.028139461,0.324188349,0.158417857,0.003651513,0.378840207,0.427097485,0.267176531,0.373626867,0.071978249,0.12166895,0.490584923,0.080226613,0.189910844,0.449307901,0.228582189,0.365473183,0.42070271,0.360380586,0.059184521,0.133694581,0.800742523,0.413407433,0.475636775,0.163984486,0.187525269,0.198355942,0.309618093,0.250478009,0.068775278,0.221275738,0.516665808,0.236431075,0.122428056,0.061165374,0.137387126,0.222955997,0.282435051,0.242375882,0.297641772,0.089168063,0.090861031,0.448463997,0.277764838,0.182833841,0.540994362,0.291816209,0.300573051,0.465431054,0.214361104,0.102890447,0.374044301,0.415284924,0.322780607,0.510359217,0.47406903,0.220648087,0.486518463,0.296005712,0.218809867,0.164047448,0.519846636,0.436685692,0.411494177,0.581889673,0.367638907,0.507757527,0.602494791,0.429846249,0.563696692,0.500063028,0.607282653,0.251250097,0.546145417,0.424087281,0.262418483,0.451669099,0.168015523,0.203920574,0.571339216,0.866690861,0.404482443
6. D??=??D?????????????for?D?,num,FracLac,FracLac,1.8547,1.657,1.7382,1.7771,1.6107,1.7027,1.5038,1.764,1.7209,1.7577,1.7416,1.7056,1.774,1.8205,1.7385,1.619,1.691,1.8104,1.8524,1.3868,1.7812,1.5984,1.0146,1.7589,1.7786,1.7078,1.7547,1.4873,1.5342,1.7881,1.5052,1.6147,1.774,1.5682,1.7425,1.7833,1.6869,1.4276,1.6262,1.8933,1.7698,1.7909,1.5719,1.5983,1.6442,1.7345,1.6847,1.4706,1.6929,1.7545,1.5706,1.5112,1.4294,1.5652,1.6767,1.7128,1.6723,1.7025,1.5226,1.5569,1.7371,1.7094,1.5373,1.8257,1.7124,1.7106,1.8368,1.687,1.4893,1.7549,1.776,1.7069,1.7848,1.7659,1.6658,1.828,1.7011,1.5518,1.6512,1.8309,1.7586,1.705,1.8008,1.7163,1.653,1.7939,1.7582,1.6706,1.751,1.8352,1.6625,1.8123,1.7452,1.6897,1.6284,1.6013,1.662,1.7795,1.8701,1.7664
7. STANDARD DEVIATION (?) for D?for?D?,num,FracLac,FracLac,0.0081,0.0083,0.0073,0.0081,0.0085,0.0099,0.0053,0.0088,0.0091,0.005,0.0025,0.0084,0.0056,0.0073,0.0051,0.0094,0.0051,0.0091,0.0106,0.0041,0.012,0.0066,0.0108,0.0052,0.0144,0.0052,0.0047,0.0085,0.0063,0.0091,0.0063,0.0082,0.0082,0.0076,0.0046,0.0072,0.0081,0.0039,0.0097,0.0095,0.0078,0.0079,0.007,0.007,0.0064,0.0085,0.0083,0.0056,0.008,0.0055,0.0057,0.0087,0.0074,0.0072,0.0071,0.0076,0.0035,0.0105,0.0043,0.0043,0.0064,0.0108,0.009,0.0087,0.0103,0.0058,0.0096,0.0066,0.0044,0.0079,0.007,0.0065,0.0075,0.006,0.0087,0.0059,0.0065,0.0074,0.0051,0.0058,0.0075,0.0063,0.0065,0.0105,0.0104,0.0066,0.0076,0.0123,0.0106,0.009,0.0076,0.0124,0.0076,0.0104,0.0107,0.004,0.0104,0.0075,0.0036,0.0073
8. MIN for D?for?D?,num,FracLac,FracLac,1.8434,1.6453,1.7247,1.7676,1.6021,1.6929,1.4959,1.7502,1.7052,1.7499,1.7383,1.6964,1.7666,1.8123,1.7313,1.6061,1.685,1.8003,1.8376,1.3807,1.7673,1.5876,0.9955,1.7521,1.7625,1.7002,1.7474,1.4725,1.5225,1.7749,1.4967,1.6044,1.7659,1.5538,1.7352,1.7732,1.6786,1.4214,1.6143,1.8792,1.7586,1.7809,1.5632,1.5865,1.6358,1.7248,1.674,1.4618,1.6821,1.7468,1.5608,1.5005,1.4188,1.5512,1.6669,1.7009,1.6677,1.6917,1.5144,1.5493,1.7286,1.6969,1.5243,1.8145,1.7007,1.7015,1.8203,1.6774,1.483,1.7462,1.7641,1.6958,1.7755,1.7576,1.6557,1.8175,1.6933,1.5429,1.6455,1.8223,1.7504,1.6941,1.7867,1.6979,1.6379,1.7848,1.7425,1.6505,1.7333,1.8243,1.6502,1.7957,1.7352,1.675,1.6144,1.5961,1.6461,1.7665,1.865,1.7559
9. MAX for D?for?D?,num,FracLac,FracLac,1.8665,1.6687,1.7491,1.7895,1.6238,1.7172,1.5143,1.7793,1.7341,1.7667,1.746,1.7184,1.7833,1.8309,1.7483,1.6347,1.6996,1.8235,1.8714,1.3943,1.7989,1.6096,1.0297,1.77,1.8015,1.7165,1.7621,1.5011,1.5437,1.8023,1.5165,1.6293,1.7874,1.5816,1.7489,1.7974,1.7016,1.4324,1.6432,1.9087,1.782,1.8021,1.5839,1.6075,1.6541,1.7491,1.6977,1.4789,1.7074,1.7641,1.5799,1.5289,1.4397,1.5749,1.6873,1.7264,1.6793,1.7193,1.5304,1.565,1.749,1.7255,1.5539,1.8381,1.7274,1.7189,1.8507,1.7,1.4974,1.7678,1.7878,1.7203,1.7975,1.7779,1.683,1.8368,1.7122,1.5668,1.6601,1.8397,1.7708,1.715,1.8115,1.7346,1.6727,1.8059,1.7678,1.691,1.767,1.8515,1.6732,1.8322,1.76,1.7051,1.6517,1.6073,1.6769,1.7881,1.8774,1.778
10. ?D (D with highest r²)?for?D?,num,FracLac,FracLac,1.8665,1.6669,1.746,1.7895,1.6049,1.6938,1.4959,1.7686,1.7332,1.7637,1.7429,1.6986,1.7833,1.8309,1.7483,1.6347,1.6989,1.8224,1.8714,1.3809,1.7781,1.5876,0.9955,1.77,1.8015,1.7002,1.7595,1.4725,1.5282,1.8023,1.499,1.6044,1.7844,1.5816,1.7478,1.7974,1.7016,1.4217,1.6143,1.9087,1.782,1.8021,1.5694,1.6075,1.6539,1.7448,1.6977,1.4789,1.6887,1.7628,1.5745,1.5092,1.4193,1.5595,1.6746,1.7174,1.6709,1.6948,1.5144,1.5493,1.749,1.7076,1.5539,1.8367,1.7274,1.7177,1.8356,1.6774,1.4974,1.7661,1.7878,1.7203,1.7975,1.7779,1.676,1.8359,1.7086,1.5668,1.6462,1.8397,1.7694,1.715,1.8115,1.7346,1.6726,1.8037,1.7676,1.6808,1.7435,1.8456,1.6626,1.8322,1.76,1.7027,1.6517,1.6,1.6758,1.7856,1.8707,1.7765
11. ?r²?for?D?,num,FracLac,FracLac,0.9999,0.9997,0.9999,0.9999,0.9999,0.9997,0.9996,0.9999,0.9999,0.9998,0.9991,1,0.9996,0.9997,1,0.9997,0.9999,0.9999,0.9998,0.9952,0.9999,0.9998,0.9875,0.9997,0.9998,0.9998,0.9998,0.999,0.9999,0.9997,0.9992,0.9999,0.9998,0.9976,0.9995,0.9999,0.9993,0.9999,0.9994,0.9996,0.9998,1,0.9995,0.9964,0.9999,0.9999,0.9999,0.9991,0.9999,0.9993,0.9973,0.9999,0.9989,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9992,0.9995,1,0.9994,0.9999,1,0.9999,1,0.9999,0.9997,1,0.9999,0.9999,0.9997,0.9998,0.9999,0.9999,0.9999,0.9986,0.9993,0.9998,0.9995,0.9995,0.9995,0.9995,0.9943,0.9991,0.9996,0.9966,0.9996,0.9999,0.9999,0.9998,0.9998,0.9999,0.9985,0.9999,0.999,0.999,0.9991,0.9998
12. ?SE?for?D?,num,FracLac,FracLac,0.0242,0.0496,0.0325,0.0307,0.0271,0.0508,0.0453,0.0253,0.0357,0.0413,0.0877,0.0168,0.0629,0.0556,0.0159,0.0492,0.0285,0.0237,0.0513,0.157,0.0253,0.0416,0.1845,0.0503,0.0447,0.0387,0.0476,0.0774,0.0231,0.0517,0.0719,0.0328,0.041,0.1267,0.0693,0.032,0.0754,0.0293,0.0653,0.0639,0.0449,0.0185,0.0595,0.1669,0.0286,0.0361,0.0229,0.0726,0.0277,0.0837,0.1427,0.0266,0.0755,0.0208,0.0201,0.0321,0.0326,0.0259,0.0274,0.0743,0.0636,0.0111,0.0654,0.0266,0.0184,0.0276,0.0203,0.024,0.0405,0.0171,0.0233,0.0354,0.0564,0.0374,0.024,0.0289,0.0209,0.1041,0.0716,0.0399,0.0684,0.0528,0.0584,0.0604,0.2119,0.0833,0.0539,0.1471,0.0347,0.0311,0.018,0.0348,0.0401,0.0224,0.0983,0.0267,0.0874,0.0934,0.0833,0.0401
13. ?Y-INT?for?D?,num,FracLac,FracLac,-0.1989,0.3315,-0.0024,0.138,0.6036,0.5192,0.8349,0.1435,0.36,-0.1676,-0.1315,0.3771,0.0984,-0.0513,-0.1129,0.2132,0.0643,0.1417,-0.0385,0.91,0.3909,0.4819,1.9593,-0.0116,0.3788,0.3517,0.076,0.841,0.3374,0.1857,0.7484,0.7334,-0.0683,-0.0769,0.023,-0.0809,0.0814,0.7226,0.2826,-0.1623,-0.0409,-0.0845,0.384,0.0418,0.2396,0.2659,0.1304,0.2895,0.2582,0.1458,0.4498,0.9112,0.705,0.5192,0.2002,0.3355,0.086,0.6073,0.5612,0.4278,-0.4149,0.3271,0.4173,-0.0178,0.2129,-0.2598,0.0436,0.2462,0.4567,0.1328,-0.3905,0.096,-0.0694,-0.2906,0.1194,-0.1088,0.0088,0.2612,0.2492,-0.1448,-0.1647,-1.3003,-0.2689,-1.0686,-0.4491,-1.245,-0.8492,-1.9809,0.1318,-0.0077,0.2223,-0.0046,0.2387,-0.0394,0.2302,0.4193,0.0382,-0.4242,-1.3101,0.3049
17. D??=??D?????????????for?D?,num,FracLac,FracLac,1.8547,1.657,1.7382,1.7771,1.6107,1.7027,1.5038,1.764,1.7209,1.7577,1.7416,1.7056,1.774,1.8205,1.7385,1.619,1.691,1.8104,1.8524,1.3868,1.7812,1.5984,1.0146,1.7589,1.7786,1.7078,1.7547,1.4873,1.5342,1.7881,1.5052,1.6147,1.774,1.5682,1.7425,1.7833,1.6869,1.4276,1.6262,1.8933,1.7698,1.7909,1.5719,1.5983,1.6442,1.7345,1.6847,1.4706,1.6929,1.7545,1.5706,1.5112,1.4294,1.5652,1.6767,1.7128,1.6723,1.7025,1.5226,1.5569,1.7371,1.7094,1.5373,1.8257,1.7124,1.7106,1.8368,1.687,1.4893,1.7549,1.776,1.7069,1.7848,1.7659,1.6658,1.828,1.7011,1.5518,1.6512,1.8309,1.7586,1.705,1.8008,1.7163,1.653,1.7939,1.7582,1.6706,1.751,1.8352,1.6625,1.8123,1.7452,1.6897,1.6284,1.6013,1.662,1.7795,1.8701,1.7664
