Feature,Data_Type,Category,Sub_Category,TCGA-23-1021,TCGA-23-1022,TCGA-23-1023,TCGA-23-1024,TCGA-23-1026,TCGA-23-1027,TCGA-23-1028,TCGA-23-1029,TCGA-23-1030,TCGA-23-1031,TCGA-23-1032,TCGA-23-1107,TCGA-23-1109,TCGA-23-1110,TCGA-23-1111,TCGA-23-1113,TCGA-23-1114,TCGA-23-1116,TCGA-23-1117,TCGA-23-1118,TCGA-23-1119,TCGA-23-1120,TCGA-23-1121,TCGA-23-1122,TCGA-23-1123,TCGA-23-1809,TCGA-23-2072,TCGA-23-2077,TCGA-23-2078,TCGA-23-2079,TCGA-23-2081,TCGA-23-2084,TCGA-23-2641,TCGA-23-2643,TCGA-23-2645,TCGA-23-2647,TCGA-23-2649,TCGA-25-1312,TCGA-25-1313,TCGA-25-1314,TCGA-25-1315,TCGA-25-1316,TCGA-25-1317,TCGA-25-1318,TCGA-25-1319,TCGA-25-1320,TCGA-25-1321,TCGA-25-1322,TCGA-25-1323,TCGA-25-1324,TCGA-25-1325,TCGA-25-1326,TCGA-25-1328,TCGA-25-1329,TCGA-25-1623,TCGA-25-1625,TCGA-25-1626,TCGA-25-1627,TCGA-25-1630,TCGA-25-1631,TCGA-25-1632,TCGA-25-1634,TCGA-25-1635,TCGA-25-1870,TCGA-25-1871,TCGA-25-1877,TCGA-25-1878,TCGA-25-2042,TCGA-25-2390,TCGA-25-2391,TCGA-25-2392,TCGA-25-2393,TCGA-25-2396,TCGA-25-2397,TCGA-25-2399,TCGA-25-2400,TCGA-25-2401,TCGA-25-2404,TCGA-25-2408,TCGA-25-2409,TCGA-3P-A9WA,TCGA-42-2582,TCGA-42-2587,TCGA-42-2588,TCGA-42-2589,TCGA-42-2590,TCGA-42-2591,TCGA-42-2593,TCGA-57-1582,TCGA-57-1583,TCGA-57-1585,TCGA-57-1586,TCGA-57-1992,TCGA-57-1993,TCGA-57-1994,TCGA-59-A5PD,TCGA-5X-AA5U,TCGA-OY-A56P,TCGA-OY-A56Q,TCGA-WR-A838
minimum_N_F1,num,Nuclear,Nuclear,0.537453184,0.528455285,0.538613861,0.524500907,0.55037594,0.456317204,0.437132785,0.38238573,0.494505495,0.457429048,0.585947302,0.53271028,0.479289941,0.273255814,0.502599653,0.377799416,0.499170813,0.373707533,0.324867725,0.856666667,0.325404377,0.541832669,0.700514139,0.512851897,0.51391863,0.488012374,0.554285714,0.34478022,0.394146341,0.471232877,0.478178368,0.351105332,0.50180072,0.440821256,0.605633803,0.428478544,0.515818432,0.481802426,0.662004662,0.567622951,0.556792873,0.54015748,0.507293355,0.536885246,0.504249292,0.563593932,0.450058754,0.47826087,0.450704225,0.483293556,0.542024014,0.5815486,0.60261194,0.643322476,0.517241379,0.569506726,0.371851852,0.448,0.466942149,0.618,0.474597274,0.507886435,0.54797048,0.461397059,0.506261181,0.558459422,0.522691706,0.476433121,0.723623853,0.499001996,0.459978655,0.496168582,0.406779661,0.460774578,0.395192308,0.497964722,0.271058315,0.516611296,0.667431193,0.324825986,0.526220615,0.570108953,0.450163399,0.38101983,0.610412926,0.499021526,0.552675585,0.561668267,0.416297609,0.410462777,0.494214876,0.503649635,0.557377049,0.463570128,0.376899696,0.494656489,0.608796296,0.403288201,0.28115345,0.41609421
1thPercentile_N_F1,num,Nuclear,Nuclear,0.838408866,0.89546971,0.884972979,0.84450154,0.904035508,0.838620487,0.921965805,0.803379876,0.829296178,0.846818046,0.832956044,0.849443507,0.87037037,0.826843382,0.795123066,0.873524516,0.819350987,0.783772089,0.802560118,0.903611133,0.873163105,0.898102792,0.881841496,0.885088177,0.854946575,0.815562398,0.895706085,0.837995138,0.879519054,0.911078741,0.851619853,0.833922222,0.892396324,0.766599158,0.863703902,0.802476975,0.783053232,0.827181007,0.847421033,0.792721107,0.822445971,0.852076557,0.83098837,0.774452113,0.81144121,0.802990309,0.793098863,0.752243336,0.775774529,0.798372976,0.840644953,0.82828255,0.858245513,0.901396768,0.773877984,0.863424029,0.871367791,0.77607098,0.764306994,0.740934449,0.842801089,0.787724781,0.873201166,0.774067518,0.820170161,0.834721929,0.804784724,0.799357067,0.879889693,0.792917132,0.782376549,0.703712905,0.816854204,0.803139439,0.789714785,0.846974184,0.840692523,0.766649851,0.886471027,0.782846461,0.811122403,0.831349206,0.808048484,0.753831147,0.878929239,0.875030562,0.869674185,0.780695019,0.817566043,0.816745585,0.831666492,0.786509446,0.859611961,0.812582057,0.823021816,0.871045727,0.847835597,0.76121124,0.720102381,0.825892468
5thPercentile_N_F1,num,Nuclear,Nuclear,0.923910807,0.946843854,0.941249312,0.926088341,0.952164516,0.939393939,0.955555556,0.918290515,0.912493958,0.928532096,0.914210843,0.929065758,0.92866941,0.926441883,0.901179218,0.940983607,0.90589982,0.910949489,0.922841731,0.931934066,0.941645622,0.948159291,0.937082619,0.946511523,0.925984528,0.926539661,0.946185535,0.934210526,0.944560147,0.954545455,0.928882664,0.934394704,0.942752043,0.889076616,0.941327338,0.912042029,0.898912152,0.932257189,0.935142761,0.902790047,0.923748126,0.926900083,0.923076923,0.894283189,0.920933767,0.904590336,0.90002044,0.862100232,0.907230626,0.917872412,0.937351683,0.929970085,0.930922877,0.94608312,0.903616459,0.933826856,0.937658579,0.890310769,0.893293052,0.872440309,0.924857314,0.902852206,0.944480696,0.880723888,0.914083586,0.918152701,0.924313926,0.924404431,0.933517409,0.91014739,0.904268783,0.845337168,0.92296562,0.911068528,0.911685748,0.930815784,0.947931023,0.888140521,0.93715847,0.918737411,0.903575668,0.928571429,0.926782838,0.900594967,0.944579873,0.938131571,0.939597315,0.866507239,0.928919365,0.916861317,0.927608955,0.892738579,0.936623222,0.913518579,0.922123589,0.938988895,0.925649327,0.879418807,0.871442952,0.92995778
10thPercentile_N_F1,num,Nuclear,Nuclear,0.946906072,0.958869197,0.955555556,0.948307213,0.961165049,0.957194446,0.962577963,0.94959973,0.939059908,0.949206349,0.939307884,0.950192822,0.946166986,0.94694492,0.934143902,0.955555556,0.932965387,0.942948989,0.948861761,0.948232205,0.955503513,0.958860759,0.953135452,0.95942029,0.947780679,0.9497736,0.956656347,0.953198939,0.958823529,0.962502129,0.946236559,0.953873931,0.956140351,0.93125068,0.957485597,0.940340769,0.931243412,0.952708341,0.951656666,0.938940092,0.948709178,0.947542081,0.945130316,0.940965056,0.944319048,0.938044143,0.93883792,0.915151515,0.945123536,0.945945946,0.956834532,0.952671628,0.948201908,0.956158664,0.936115206,0.952808308,0.952380952,0.927856829,0.933400605,0.913052322,0.948126801,0.937024393,0.956995277,0.921286848,0.939591521,0.943929723,0.94904304,0.950758867,0.95213592,0.944106817,0.937027708,0.89890189,0.948655257,0.943670176,0.942216139,0.9505457,0.960166594,0.925801892,0.951492537,0.946680881,0.932631579,0.95202952,0.951571091,0.939296066,0.958203196,0.954566956,0.954857192,0.903614458,0.950156798,0.942413137,0.948717949,0.93129771,0.954268293,0.941593938,0.949119374,0.956521739,0.94702412,0.923205342,0.921475559,0.951145477
25thPercentile_N_F1,num,Nuclear,Nuclear,0.964050452,0.968133536,0.966273187,0.964370546,0.96875,0.96875,0.969072165,0.96797153,0.961366169,0.964705882,0.961475618,0.965331946,0.961165049,0.964179104,0.960188559,0.966903073,0.957186544,0.96350365,0.966843501,0.961721612,0.966762005,0.96743555,0.964285714,0.968807538,0.96398892,0.966403162,0.966292135,0.966386555,0.968798752,0.969298246,0.961538462,0.96738745,0.966789668,0.962209302,0.968363741,0.96354027,0.959048046,0.965166483,0.966191851,0.964285714,0.965198029,0.96359743,0.960526316,0.962374556,0.962121212,0.961629775,0.961968004,0.957894737,0.964176674,0.963898917,0.968483112,0.967145791,0.963087248,0.965616046,0.959183673,0.966101695,0.963876766,0.958400396,0.960431655,0.952267031,0.964225565,0.960293288,0.967105263,0.953961839,0.960474308,0.962281088,0.965302903,0.966821291,0.96485623,0.965181732,0.960286248,0.947858473,0.965640399,0.96373057,0.963008631,0.964201406,0.969116555,0.95754717,0.962318841,0.964451624,0.958719237,0.966603001,0.967369709,0.963235294,0.96875,0.966713221,0.966580977,0.945810655,0.965581442,0.960824742,0.965189873,0.957831325,0.965517241,0.96119245,0.965753425,0.968289921,0.962675571,0.95678406,0.957992482,0.965714286
median_N_F1,num,Nuclear,Nuclear,0.97266881,0.973913043,0.972752044,0.972111554,0.974266856,0.975047985,0.974358974,0.975232198,0.971153846,0.972752044,0.97147651,0.972881356,0.969758065,0.972543353,0.9712,0.973484848,0.968547464,0.973072215,0.974226804,0.970463307,0.973451327,0.973421927,0.971804511,0.974576271,0.97212932,0.974025974,0.972752044,0.973451327,0.974637681,0.974683544,0.970172684,0.974522293,0.973225459,0.972533062,0.974499089,0.972972973,0.970588235,0.972136223,0.973782772,0.972902098,0.972796712,0.971580817,0.968888889,0.971246006,0.970873786,0.970948012,0.970822281,0.970178926,0.972162741,0.971966469,0.974695408,0.973913043,0.971367891,0.972111554,0.969754253,0.972765589,0.971486762,0.970588235,0.970749543,0.968058968,0.972085386,0.970216101,0.97342425,0.967889908,0.970128023,0.971128609,0.97319933,0.974117647,0.971731449,0.973380657,0.970048,0.96589889,0.973409307,0.972222222,0.971673132,0.971602434,0.975088968,0.96969697,0.96978022,0.97282161,0.969804618,0.973684211,0.974588939,0.972855592,0.974591652,0.973404255,0.973333333,0.965160075,0.972839506,0.969899666,0.972834216,0.96875,0.972323613,0.970149254,0.973244147,0.974522293,0.970941884,0.970111819,0.971496437,0.972850679
mean_N_F1,num,Nuclear,Nuclear,0.96541942,0.970268939,0.968523098,0.965598938,0.971178097,0.968979362,0.972079323,0.966156898,0.962753667,0.966225646,0.963086452,0.966520417,0.964300659,0.965044855,0.960884915,0.968683634,0.959529196,0.963256824,0.965979126,0.965936701,0.968679047,0.970038884,0.967299748,0.970358308,0.965623841,0.966285199,0.969160032,0.966939008,0.970159058,0.971815301,0.964160071,0.967792685,0.969083607,0.960430672,0.969467854,0.963261001,0.959707466,0.966146219,0.967783976,0.962817697,0.965583135,0.965244656,0.962295272,0.960689992,0.963081315,0.96173838,0.961166021,0.955442704,0.962731961,0.963681471,0.968668681,0.966960794,0.965420001,0.968796644,0.959908606,0.967390718,0.966510802,0.958741006,0.959383202,0.95386689,0.965417889,0.960361734,0.969017045,0.955470843,0.96184049,0.963697807,0.96524757,0.966075967,0.96702615,0.963910969,0.960253661,0.948379757,0.965645121,0.963342243,0.962647004,0.965638746,0.969632466,0.957690863,0.965859205,0.963939062,0.960152583,0.966930745,0.966787962,0.961487574,0.97012416,0.968379429,0.968335755,0.950801546,0.965657363,0.961987104,0.965809635,0.958180479,0.96711396,0.961934225,0.965686156,0.969343188,0.964606707,0.956825076,0.956050826,0.966155714
75thPercentile_N_F1,num,Nuclear,Nuclear,0.977777778,0.978313253,0.977542933,0.977240398,0.978494624,0.979274611,0.978686341,0.979539642,0.976691211,0.977804098,0.976892779,0.977812389,0.975524476,0.977712773,0.976990726,0.978118162,0.97515528,0.978214073,0.978752601,0.975261125,0.978006339,0.978003384,0.977192982,0.978978979,0.977304965,0.978685613,0.97752809,0.978125,0.978910369,0.978835979,0.976034133,0.979039301,0.977817277,0.977941176,0.979035639,0.978001692,0.976536943,0.977272727,0.978682171,0.977777778,0.977777778,0.976798144,0.974719101,0.976878613,0.976516634,0.976596575,0.976470588,0.976470588,0.97740113,0.977272727,0.979143798,0.978625954,0.976683938,0.97706422,0.976149915,0.977564103,0.976744186,0.976646321,0.976580796,0.975374123,0.977197268,0.976190476,0.978151261,0.975,0.975919333,0.976608187,0.978149512,0.978723404,0.976836607,0.978193146,0.976095618,0.974169742,0.97826087,0.977333333,0.977040816,0.976811594,0.979301423,0.976102941,0.975436441,0.978001692,0.975806452,0.978354978,0.978947368,0.978142077,0.97875569,0.978021978,0.978056426,0.97380037,0.977583453,0.975714286,0.977559607,0.975041597,0.977272727,0.975881262,0.978070175,0.978864502,0.976415094,0.976237624,0.977459016,0.977635783
90thPercentile_N_F1,num,Nuclear,Nuclear,0.981256388,0.981651376,0.981132075,0.980830671,0.981684982,0.982315414,0.981779207,0.982520699,0.980470356,0.981279251,0.980609418,0.98125,0.979768786,0.981161695,0.980615601,0.98150513,0.979378405,0.98156682,0.981876508,0.980621611,0.981308411,0.98136646,0.981036227,0.982007068,0.980902778,0.981900452,0.981111038,0.981492905,0.981996727,0.982071713,0.980119284,0.98209333,0.981284332,0.981498852,0.98210184,0.981314232,0.980319319,0.980857016,0.981890337,0.981171548,0.981351981,0.980487805,0.979220779,0.980477722,0.980258334,0.980392157,0.980258162,0.980532696,0.980936383,0.980747316,0.982142857,0.981874078,0.980620155,0.980842912,0.980201753,0.98108747,0.980482032,0.980462029,0.980506823,0.979788239,0.980738363,0.980137054,0.981578947,0.979539642,0.98,0.980487805,0.981530718,0.981884058,0.980719793,0.981518123,0.980246914,0.978873239,0.981604033,0.980874317,0.980769231,0.980507582,0.98240866,0.98018018,0.980066445,0.981429405,0.979820628,0.981666667,0.982109902,0.981418919,0.981965899,0.98155883,0.981450253,0.978768577,0.980952381,0.97963227,0.98088423,0.979193758,0.980746089,0.979703299,0.981524249,0.98195361,0.980329905,0.980225989,0.980952381,0.981213873
95thPercentile_N_F1,num,Nuclear,Nuclear,0.982968558,0.983496988,0.982972136,0.98265896,0.983557549,0.983870968,0.983525535,0.984021305,0.98245614,0.98303121,0.982444239,0.983050847,0.981941309,0.982993197,0.982429401,0.983286908,0.981664093,0.983232529,0.983565419,0.982847139,0.983173077,0.983240223,0.983025019,0.983698816,0.982791587,0.983416939,0.983050847,0.983140392,0.983720772,0.983805668,0.982248521,0.983619345,0.983179528,0.983348103,0.983751016,0.982986329,0.982275706,0.982857143,0.983389565,0.982720049,0.983207387,0.982409,0.981519507,0.982508679,0.982117577,0.98245614,0.982170522,0.98245614,0.982880865,0.982609905,0.983740854,0.983715618,0.982848386,0.982791587,0.98212819,0.982954545,0.98241206,0.982370404,0.98234181,0.982127647,0.982694234,0.982192187,0.983383686,0.981633121,0.982035928,0.982473434,0.983279565,0.983580497,0.982453338,0.983177345,0.982283639,0.98115747,0.983305509,0.982727517,0.982629195,0.98240968,0.984048174,0.982248521,0.982517483,0.983095189,0.981885156,0.983389317,0.983783784,0.983124065,0.983631409,0.983359806,0.98325723,0.981167608,0.982665972,0.981651376,0.982750106,0.981420765,0.982579468,0.981560056,0.983380547,0.983575084,0.982490272,0.982142857,0.982716049,0.982918643
