"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-3P-A9WA","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"minimum_N_F1","num","Nuclear","Nuclear",0.5374532,0.5284553,0.5386139,0.5245009,0.5503759,0.4563172,0.4371328,0.3823857,0.4945055,0.457429,0.5859473,0.4792899,0.2732558,0.5025997,0.3777994,0.4991708,0.3737075,0.3248677,0.8566667,0.3254044,0.5418327,0.7005141,0.5128519,0.5139186,0.4880124,0.5542857,0.3447802,0.3941463,0.4712329,0.4781784,0.3511053,0.5018007,0.4408213,0.6056338,0.4284785,0.5158184,0.4818024,0.6620047,0.567623,0.5567929,0.5401575,0.5072934,0.5368852,0.5042493,0.5635939,0.4500588,0.4782609,0.4507042,0.4832936,0.5815486,0.6026119,0.6433225,0.5172414,0.5695067,0.3718519,0.448,0.4669421,0.618,0.4745973,0.5078864,0.5479705,0.4613971,0.5062612,0.5584594,0.5226917,0.4764331,0.499002,0.4599787,0.4961686,0.4067797,0.4607746,0.3951923,0.4979647,0.2710583,0.5166113,0.6674312,0.324826,0.5262206,0.570109,0.4501634,0.3810198,0.6104129,0.4990215,0.5526756,0.5616683,0.4162976,0.4104628,0.4942149,0.5036496,0.557377,0.4635701,0.3768997,0.4946565,0.6087963,0.4032882,0.2811535,0.4160942
"1thPercentile_N_F1","num","Nuclear","Nuclear",0.8384089,0.8954697,0.884973,0.8445015,0.9040355,0.8386205,0.9219658,0.8033799,0.8292962,0.846818,0.832956,0.8703704,0.8268434,0.7951231,0.8735245,0.819351,0.7837721,0.8025601,0.9036111,0.8731631,0.8981028,0.8818415,0.8850882,0.8549466,0.8155624,0.8957061,0.8379951,0.8795191,0.9110787,0.8516199,0.8339222,0.8923963,0.7665992,0.8637039,0.802477,0.7830532,0.827181,0.847421,0.7927211,0.822446,0.8520766,0.8309884,0.7744521,0.8114412,0.8029903,0.7930989,0.7522433,0.7757745,0.798373,0.8282825,0.8582455,0.9013968,0.773878,0.863424,0.8713678,0.776071,0.764307,0.7409344,0.8428011,0.7877248,0.8732012,0.7740675,0.8201702,0.8347219,0.8047847,0.7993571,0.7929171,0.7823765,0.7037129,0.8168542,0.8031394,0.7897148,0.8469742,0.8406925,0.7666499,0.886471,0.7828465,0.8111224,0.8313492,0.8080485,0.7538311,0.8789292,0.8750306,0.8696742,0.780695,0.817566,0.8167456,0.8316665,0.7865094,0.859612,0.8125821,0.8230218,0.8710457,0.8478356,0.7612112,0.7201024,0.8258925
"5thPercentile_N_F1","num","Nuclear","Nuclear",0.9239108,0.9468439,0.9412493,0.9260883,0.9521645,0.9393939,0.9555556,0.9182905,0.912494,0.9285321,0.9142108,0.9286694,0.9264419,0.9011792,0.9409836,0.9058998,0.9109495,0.9228417,0.9319341,0.9416456,0.9481593,0.9370826,0.9465115,0.9259845,0.9265397,0.9461855,0.9342105,0.9445601,0.9545455,0.9288827,0.9343947,0.942752,0.8890766,0.9413273,0.912042,0.8989122,0.9322572,0.9351428,0.90279,0.9237481,0.9269001,0.9230769,0.8942832,0.9209338,0.9045903,0.9000204,0.8621002,0.9072306,0.9178724,0.9299701,0.9309229,0.9460831,0.9036165,0.9338269,0.9376586,0.8903108,0.8932931,0.8724403,0.9248573,0.9028522,0.9444807,0.8807239,0.9140836,0.9181527,0.9243139,0.9244044,0.9101474,0.9042688,0.8453372,0.9229656,0.9110685,0.9116857,0.9308158,0.947931,0.8881405,0.9371585,0.9187374,0.9035757,0.9285714,0.9267828,0.900595,0.9445799,0.9381316,0.9395973,0.8665072,0.9289194,0.9168613,0.927609,0.8927386,0.9366232,0.9135186,0.9221236,0.9389889,0.9256493,0.8794188,0.871443,0.9299578
"10thPercentile_N_F1","num","Nuclear","Nuclear",0.9469061,0.9588692,0.9555556,0.9483072,0.961165,0.9571944,0.962578,0.9495997,0.9390599,0.9492063,0.9393079,0.946167,0.9469449,0.9341439,0.9555556,0.9329654,0.942949,0.9488618,0.9482322,0.9555035,0.9588608,0.9531355,0.9594203,0.9477807,0.9497736,0.9566563,0.9531989,0.9588235,0.9625021,0.9462366,0.9538739,0.9561404,0.9312507,0.9574856,0.9403408,0.9312434,0.9527083,0.9516567,0.9389401,0.9487092,0.9475421,0.9451303,0.9409651,0.944319,0.9380441,0.9388379,0.9151515,0.9451235,0.9459459,0.9526716,0.9482019,0.9561587,0.9361152,0.9528083,0.952381,0.9278568,0.9334006,0.9130523,0.9481268,0.9370244,0.9569953,0.9212868,0.9395915,0.9439297,0.949043,0.9507589,0.9441068,0.9370277,0.8989019,0.9486553,0.9436702,0.9422161,0.9505457,0.9601666,0.9258019,0.9514925,0.9466809,0.9326316,0.9520295,0.9515711,0.9392961,0.9582032,0.954567,0.9548572,0.9036145,0.9501568,0.9424131,0.9487179,0.9312977,0.9542683,0.9415939,0.9491194,0.9565217,0.9470241,0.9232053,0.9214756,0.9511455
"25thPercentile_N_F1","num","Nuclear","Nuclear",0.9640505,0.9681335,0.9662732,0.9643705,0.96875,0.96875,0.9690722,0.9679715,0.9613662,0.9647059,0.9614756,0.961165,0.9641791,0.9601886,0.9669031,0.9571865,0.9635037,0.9668435,0.9617216,0.966762,0.9674356,0.9642857,0.9688075,0.9639889,0.9664032,0.9662921,0.9663866,0.9687988,0.9692982,0.9615385,0.9673875,0.9667897,0.9622093,0.9683637,0.9635403,0.959048,0.9651665,0.9661919,0.9642857,0.965198,0.9635974,0.9605263,0.9623746,0.9621212,0.9616298,0.961968,0.9578947,0.9641767,0.9638989,0.9671458,0.9630872,0.965616,0.9591837,0.9661017,0.9638768,0.9584004,0.9604317,0.952267,0.9642256,0.9602933,0.9671053,0.9539618,0.9604743,0.9622811,0.9653029,0.9668213,0.9651817,0.9602862,0.9478585,0.9656404,0.9637306,0.9630086,0.9642014,0.9691166,0.9575472,0.9623188,0.9644516,0.9587192,0.966603,0.9673697,0.9632353,0.96875,0.9667132,0.966581,0.9458107,0.9655814,0.9608247,0.9651899,0.9578313,0.9655172,0.9611924,0.9657534,0.9682899,0.9626756,0.9567841,0.9579925,0.9657143
"median_N_F1","num","Nuclear","Nuclear",0.9726688,0.973913,0.972752,0.9721116,0.9742669,0.975048,0.974359,0.9752322,0.9711538,0.972752,0.9714765,0.9697581,0.9725434,0.9712,0.9734848,0.9685475,0.9730722,0.9742268,0.9704633,0.9734513,0.9734219,0.9718045,0.9745763,0.9721293,0.974026,0.972752,0.9734513,0.9746377,0.9746835,0.9701727,0.9745223,0.9732255,0.9725331,0.9744991,0.972973,0.9705882,0.9721362,0.9737828,0.9729021,0.9727967,0.9715808,0.9688889,0.971246,0.9708738,0.970948,0.9708223,0.9701789,0.9721627,0.9719665,0.973913,0.9713679,0.9721116,0.9697543,0.9727656,0.9714868,0.9705882,0.9707495,0.968059,0.9720854,0.9702161,0.9734242,0.9678899,0.970128,0.9711286,0.9731993,0.9741176,0.9733807,0.970048,0.9658989,0.9734093,0.9722222,0.9716731,0.9716024,0.975089,0.969697,0.9697802,0.9728216,0.9698046,0.9736842,0.9745889,0.9728556,0.9745917,0.9734043,0.9733333,0.9651601,0.9728395,0.9698997,0.9728342,0.96875,0.9723236,0.9701493,0.9732441,0.9745223,0.9709419,0.9701118,0.9714964,0.9728507
"mean_N_F1","num","Nuclear","Nuclear",0.9654194,0.9702689,0.9685231,0.9655989,0.9711781,0.9689794,0.9720793,0.9661569,0.9627537,0.9662256,0.9630865,0.9643007,0.9650449,0.9608849,0.9686836,0.9595292,0.9632568,0.9659791,0.9659367,0.968679,0.9700389,0.9672997,0.9703583,0.9656238,0.9662852,0.96916,0.966939,0.9701591,0.9718153,0.9641601,0.9677927,0.9690836,0.9604307,0.9694679,0.963261,0.9597075,0.9661462,0.967784,0.9628177,0.9655831,0.9652447,0.9622953,0.96069,0.9630813,0.9617384,0.961166,0.9554427,0.962732,0.9636815,0.9669608,0.96542,0.9687966,0.9599086,0.9673907,0.9665108,0.958741,0.9593832,0.9538669,0.9654179,0.9603617,0.969017,0.9554708,0.9618405,0.9636978,0.9652476,0.966076,0.963911,0.9602537,0.9483798,0.9656451,0.9633422,0.962647,0.9656387,0.9696325,0.9576909,0.9658592,0.9639391,0.9601526,0.9669307,0.966788,0.9614876,0.9701242,0.9683794,0.9683358,0.9508015,0.9656574,0.9619871,0.9658096,0.9581805,0.967114,0.9619342,0.9656862,0.9693432,0.9646067,0.9568251,0.9560508,0.9661557
"75thPercentile_N_F1","num","Nuclear","Nuclear",0.9777778,0.9783133,0.9775429,0.9772404,0.9784946,0.9792746,0.9786863,0.9795396,0.9766912,0.9778041,0.9768928,0.9755245,0.9777128,0.9769907,0.9781182,0.9751553,0.9782141,0.9787526,0.9752611,0.9780063,0.9780034,0.977193,0.978979,0.977305,0.9786856,0.9775281,0.978125,0.9789104,0.978836,0.9760341,0.9790393,0.9778173,0.9779412,0.9790356,0.9780017,0.9765369,0.9772727,0.9786822,0.9777778,0.9777778,0.9767981,0.9747191,0.9768786,0.9765166,0.9765966,0.9764706,0.9764706,0.9774011,0.9772727,0.978626,0.9766839,0.9770642,0.9761499,0.9775641,0.9767442,0.9766463,0.9765808,0.9753741,0.9771973,0.9761905,0.9781513,0.975,0.9759193,0.9766082,0.9781495,0.9787234,0.9781931,0.9760956,0.9741697,0.9782609,0.9773333,0.9770408,0.9768116,0.9793014,0.9761029,0.9754364,0.9780017,0.9758065,0.978355,0.9789474,0.9781421,0.9787557,0.978022,0.9780564,0.9738004,0.9775835,0.9757143,0.9775596,0.9750416,0.9772727,0.9758813,0.9780702,0.9788645,0.9764151,0.9762376,0.977459,0.9776358
"90thPercentile_N_F1","num","Nuclear","Nuclear",0.9812564,0.9816514,0.9811321,0.9808307,0.981685,0.9823154,0.9817792,0.9825207,0.9804704,0.9812793,0.9806094,0.9797688,0.9811617,0.9806156,0.9815051,0.9793784,0.9815668,0.9818765,0.9806216,0.9813084,0.9813665,0.9810362,0.9820071,0.9809028,0.9819005,0.981111,0.9814929,0.9819967,0.9820717,0.9801193,0.9820933,0.9812843,0.9814989,0.9821018,0.9813142,0.9803193,0.980857,0.9818903,0.9811715,0.981352,0.9804878,0.9792208,0.9804777,0.9802583,0.9803922,0.9802582,0.9805327,0.9809364,0.9807473,0.9818741,0.9806202,0.9808429,0.9802018,0.9810875,0.980482,0.980462,0.9805068,0.9797882,0.9807384,0.9801371,0.9815789,0.9795396,0.98,0.9804878,0.9815307,0.9818841,0.9815181,0.9802469,0.9788732,0.981604,0.9808743,0.9807692,0.9805076,0.9824087,0.9801802,0.9800664,0.9814294,0.9798206,0.9816667,0.9821099,0.9814189,0.9819659,0.9815588,0.9814503,0.9787686,0.9809524,0.9796323,0.9808842,0.9791938,0.9807461,0.9797033,0.9815242,0.9819536,0.9803299,0.980226,0.9809524,0.9812139
"95thPercentile_N_F1","num","Nuclear","Nuclear",0.9829686,0.983497,0.9829721,0.982659,0.9835575,0.983871,0.9835255,0.9840213,0.9824561,0.9830312,0.9824442,0.9819413,0.9829932,0.9824294,0.9832869,0.9816641,0.9832325,0.9835654,0.9828471,0.9831731,0.9832402,0.983025,0.9836988,0.9827916,0.9834169,0.9830508,0.9831404,0.9837208,0.9838057,0.9822485,0.9836193,0.9831795,0.9833481,0.983751,0.9829863,0.9822757,0.9828571,0.9833896,0.98272,0.9832074,0.982409,0.9815195,0.9825087,0.9821176,0.9824561,0.9821705,0.9824561,0.9828809,0.9826099,0.9837156,0.9828484,0.9827916,0.9821282,0.9829545,0.9824121,0.9823704,0.9823418,0.9821276,0.9826942,0.9821922,0.9833837,0.9816331,0.9820359,0.9824734,0.9832796,0.9835805,0.9831773,0.9822836,0.9811575,0.9833055,0.9827275,0.9826292,0.9824097,0.9840482,0.9822485,0.9825175,0.9830952,0.9818852,0.9833893,0.9837838,0.9831241,0.9836314,0.9833598,0.9832572,0.9811676,0.982666,0.9816514,0.9827501,0.9814208,0.9825795,0.9815601,0.9833805,0.9835751,0.9824903,0.9821429,0.982716,0.9829186
